['shortTag', 'id', 'pageType', 'description', 'explanation', 'prologue', 'epilogue', 'helpPage', 'helpButtonTitle', 'language', 'imageFilePath', 'imageFileName', 'imageFileType']
NewSummary,33,questionnaireSummary,Summary Page,This page displays the Respondent's input to the Questionnaire,Prologue text,Epilogue text,,,English,,,
Path1,37,singlePass,This is Path 1,This is Path 1,Prologue,Epilogue,,,English,,,
Path2,38,singlePass,This is Path 2,This is Path 2,Prologue,Epilogue,,,English,,,
TP1,29,singlePass,Page for testing,Thank you for testing our questionnaire! test,Prologue text appears before the questions,Epilogue text appears after the questions,,,English,,,
TP2,31,singlePass,Short description not seen by the respondent,Explanation,Prologue,Eiplogue,,,English,,,
completion,36,hasTemplateAndFunction,This is a completion page,This page offers to email the questionnaire results to the respondent.,Prologue,Epilogue,,,English,,,
newStart,30,singlePass,First page of the questionnaire,Explanation for this page.<lfeedr><lfeed><lfeedr><lfeed>This is the first page of the questionnaire,Prolog <aComma>before the questions<aComma> for this page,Epilogue (after the questions<aComma> for this page (except no questions on this particular page),,,English,,,
respondentIdent,32,hasTemplateAndFunction,Capture respondent information,Describe why this information is being gathered<aComma> and where it will be disseminated.,Prologue appears before questions (if any),Prologue appears after questions (if any),,,English,,,
NewSummary,579,questionnaireSummary,Summary Page,This page displays the Respondent's input to the Questionnaire,Prologue text,Epilogue text,,,English,,,
Path1,580,singlePass,This is Path 1,This is Path 1,Prologue,Epilogue,,,English,,,
Path2,581,singlePass,This is Path 2,This is Path 2,Prologue,Epilogue,,,English,,,
TP1,582,singlePass,Page for testing,Thank you for testing our questionnaire! test<lfeedr><lfeed>के बारे में एक तस्वीर और जानकारी के लिए यहां क्लिक करें,Prologue text appears before the questions,Epilogue text appears after the questions,,,English,,,
TP1_1,596,,,,,,,,English,,,
TP1_1_1,597,,,,,,,,English,,,
TP2,583,singlePass,Short description not seen by the respondent,Explanation,Prologue,Eiplogue,,,English,,,
completion,584,hasTemplateAndFunction,This is a completion page,This page offers to email the questionnaire results to the respondent.,Prologue,Epilogue,,,English,,,
newStart,585,singlePass,First page of the questionnaire,Explanation for this page.<lfeedr><lfeed><lfeedr><lfeed>This is the first page of the questionnaire,Prolog <aComma>before the questions<aComma> for this page,Epilogue (after the questions<aComma> for this page (except no questions on this particular page),,,English,,,
respondentIdent,586,hasTemplateAndFunction,Capture respondent information,Describe why this information is being gathered<aComma> and where it will be disseminated.,Prologue appears before questions (if any),Prologue appears after questions (if any),,,English,,,
