['questionTag', 'id', 'questionText', 'helpText', 'explanation', 'language', 'description', 'responseType', 'imageFilePath', 'imageFileName', 'imageFileType']
BeautifulDay,49,Was the weather beautiful today?,,Explanation of this question,English,Description of this question,YesNoField,,,
QuestAssess,50,Did you successfully respond to the questions?,,Explanation for this question,English,Description for this question,YesNoField,,,
criticalPath,48,Do you want to diverge to Path 2?,,,English,This question tests conditional page transition.<lfeedr><lfeed><lfeedr><lfeed>Answering the questions determines whether the transition is to Path1 or Path2,YesNoField,,,
testQuest1,45,test question number,,Explanation for this Question,English,question 1,YesNoField,,,
testQuest2,46,test question number 2,,Explanation for this Question,English,question 2,YesNoField,,,
testQuest3,47,test question number 3,,Explanation for this Question,English,question 3,YesNoField,,,
BeautifulDay,562,Was the weather beautiful today?,,Explanation of this question,English,Description of this question,YesNoField,,,
QuestAssess,561,Did you successfully respond to the questions?,,Explanation for this question,English,Description for this question,YesNoField,,,
criticalPath,566,Do you want to diverge to Path 2?,,,English,This question tests conditional page transition.<lfeedr><lfeed><lfeedr><lfeed>Answering the questions determines whether the transition is to Path1 or Path2,YesNoField,,,
testQuest1,563,test question number 1,,Explanation for this Question,English,question 1,YesNoField,,,
testQuest2,564,test question number 2,,Explanation for this Question,English,question 2,YesNoField,,,
testQuest3,565,test question number 3,,Explanation for this Question,English,question 3,YesNoField,,,
ashkenaziJewishCloseRels,1,Is any close blood relative <lfeed><a title="Tap here to see what we mean by Ashkenazi Jewish for this survey"<lfeed>href="{{explainURLprefix}}ashkenazijewishrelatives">Ashkenazi Jewish?</a>. <lfeed><i>Ashkenazi Jewish people have a higher chance of <a title="Tap here to learn more about BRCA gene mutations" href="{{explainURLprefix}}brcatesting">BRCA gene mutations</a>.</i><lfeed>,,Ashkenazi Jewish relatives,English,family history,YesNoField,,,
