['Questionnaire ID', 'Questionnaire Tag', 'Page ID', 'Page Tag', 'Next Page ID', 'Next Page shortTag', 'Test Condition', 'Record Type']
5,TestQuest,33,NewSummary,36,completion,next_page_default,next_page_default
5,TestQuest,37,Path1,33,NewSummary,next_page_default,next_page_default
5,TestQuest,38,Path2,33,NewSummary,next_page_default,next_page_default
5,TestQuest,29,TP1,31,TP2,next_page_default,next_page_default
5,TestQuest,31,TP2,38,Path2,[(u'criticalPath'<aComma> u'Yes')],calculated
5,TestQuest,31,TP2,37,Path1,next_page_default,next_page_default
5,TestQuest,30,newStart,30,newStart,start_page,start_page
5,TestQuest,30,newStart,32,respondentIdent,next_page_default,next_page_default
5,TestQuest,32,respondentIdent,29,TP1,next_page_default,next_page_default
51,SampleQ,579,NewSummary,584,completion,next_page_default,next_page_default
51,SampleQ,580,Path1,579,NewSummary,next_page_default,next_page_default
51,SampleQ,581,Path2,579,NewSummary,next_page_default,next_page_default
51,SampleQ,582,TP1,583,TP2,next_page_default,next_page_default
51,SampleQ,596,TP1_1,582,TP1,next_page_default,next_page_default
51,SampleQ,597,TP1_1_1,596,TP1_1,next_page_default,next_page_default
51,SampleQ,583,TP2,580,Path1,next_page_default,next_page_default
51,SampleQ,583,TP2,581,Path2,[(u'criticalPath'<aComma> u'Yes')],calculated
51,SampleQ,585,newStart,585,newStart,next_page_default,start_page
51,SampleQ,585,newStart,586,respondentIdent,next_page_default,next_page_default
51,SampleQ,586,respondentIdent,597,TP1_1_1,next_page_default,next_page_default
3,BRCA_S,12,P1,13,P2,next_page_default,next_page_default
3,BRCA_S,13,P2,14,P3,next_page_default,next_page_default
3,BRCA_S,14,P3,15,P3a,[(u'pHxBreastCA'<aComma> u'Yes')],calculated
3,BRCA_S,14,P3,18,P4,next_page_default,next_page_default
3,BRCA_S,15,P3a,16,P3b,next_page_default,next_page_default
3,BRCA_S,16,P3b,17,P3c,next_page_default,next_page_default
3,BRCA_S,17,P3c,21,P5,next_page_default,next_page_default
3,BRCA_S,18,P4,19,P4a,[(u'ashkenaziJewishCloseRels'<aComma> u'No')<aComma> (u'fHxBrCASuscGene'<aComma> u'No')<aComma> (u'fHxBreastCA'<aComma> u'Yes')],calculated
3,BRCA_S,18,P4,21,P5,next_page_default,next_page_default
3,BRCA_S,18,P4,19,P4a,[(u'ashkenaziJewishCloseRels'<aComma> u'Yes')<aComma> (u'fHxBrCASuscGene'<aComma> u'Yes')<aComma> (u'fHxBreastCA'<aComma> u'Yes')],calculated
3,BRCA_S,18,P4,19,P4a,[(u'ashkenaziJewishCloseRels'<aComma> u'Yes')<aComma> (u'fHxBrCASuscGene'<aComma> u'No')<aComma> (u'fHxBreastCA'<aComma> u'Yes')],calculated
3,BRCA_S,18,P4,19,P4a,[(u'ashkenaziJewishCloseRels'<aComma> u'No')<aComma> (u'fHxBrCASuscGene'<aComma> u'Yes')<aComma> (u'fHxBreastCA'<aComma> u'Yes')],calculated
3,BRCA_S,19,P4a,20,P4b,next_page_default,next_page_default
3,BRCA_S,20,P4b,21,P5,next_page_default,next_page_default
3,BRCA_S,21,P5,22,SummaryPage,next_page_default,next_page_default
3,BRCA_S,22,SummaryPage,27,riskAssess2,Referral,globalFlag
3,BRCA_S,22,SummaryPage,25,indetRisk,Indeterminate,globalFlag
3,BRCA_S,22,SummaryPage,23,avgRisk,next_page_default,next_page_default
3,BRCA_S,23,avgRisk,24,completion,next_page_default,next_page_default
3,BRCA_S,25,indetRisk,24,completion,next_page_default,next_page_default
3,BRCA_S,26,respondentIdent,12,P1,next_page_default,next_page_default
3,BRCA_S,27,riskAssess2,24,completion,next_page_default,next_page_default
3,BRCA_S,28,splash,28,splash,start_page,start_page
3,BRCA_S,28,splash,26,respondentIdent,next_page_default,next_page_default
1,BRCA,1,H1,2,H2,next_page_default,next_page_default
1,BRCA,2,H2,3,H3,next_page_default,next_page_default
